Geneid	E1_-2day_rep1	E1_-2day_rep2	E1_-1day_rep1	E1_-1day_rep2	E1_0day_rep1	E1_0day_rep2	E1_1day_rep1	E1_1day_rep2
Ga14g01457	370	353	332	384	423	351	374	377
Ga14g01459	1	2	0	1	2	1	3	0
Ga14g01460	16	23	26	29	48	22	25	24
Ga14g01461	0	0	0	0	0	0	0	0
Ga11g00002	365	318	259	336	353	405	386	324
Ga14g01462	0	0	2	1	0	0	0	1
Ga14g01463	140	142	119	152	147	108	159	113
Ga14g01464	92	58	69	80	81	67	69	67
Ga01g00001	733	682	594	579	702	616	602	628
lnc-Ga06g0001	35	44	42	32	53	54	26	60
Ga01g00002	71	93	54	44	89	51	52	54
Ga01g00003	318	342	274	257	418	382	340	353
Ga01g00004	2379	2475	2316	2217	3467	3189	2759	2690
Ga01g00005	566	526	610	669	636	708	600	706
lnc-Ga01g0001	529	502	574	631	606	658	556	671
Ga01g00006	1708	1480	684	699	439	362	629	681
lnc-Ga01g0002	1701	1471	679	694	439	361	628	680
Ga01g00007	18	32	2	6	36	19	20	29
Ga01g00008	2	5	1	1	4	1	2	4
Ga01g00009	385	394	567	578	950	972	696	766
Ga01g00010	9602	9482	8019	8217	9094	8404	8251	8185
lnc-Ga01g0003	1002	1067	736	882	779	679	634	649
Ga01g00011	1838	1735	1263	1295	1177	1167	430	454
Ga01g00012	1373	1319	1057	1062	1238	1153	1479	1399
Ga01g00013	792	773	399	386	670	684	632	575
Ga01g00014	19	24	12	20	6	8	58	44
Ga01g00015	16	28	6	6	8	14	15	14
Ga01g00016	256	262	214	192	160	144	463	432
Ga01g00017	1562	1685	1782	1788	1990	1931	2176	2057
Ga01g00018	8669	8842	7596	7563	8627	7800	8453	8077
Ga01g00019	246	233	158	207	249	188	205	163
Ga01g00020	3896	4122	4837	4669	6424	5830	7418	7209
Ga01g00021	4	13	8	3	11	7	9	4
Ga01g00022	9171	8550	9128	9156	10009	8979	9393	8511
Ga01g00023	725	636	636	588	715	650	908	793
Ga01g00024	2820	2680	1799	1920	2142	1954	1919	1888
lnc-Ga01g0005	1	0	0	1	2	1	0	1
Ga01g00025	0	2	0	1	3	0	8	0
Ga01g00026	55	50	30	38	63	67	64	85
Ga01g00027	2509	2518	2438	2224	2589	2462	2853	2916
Ga01g00028	672	637	585	595	645	502	991	1151
Ga01g00029	3	4	0	3	1	9	1	1
Ga01g00030	861	796	453	382	752	733	680	663
Ga01g00031	0	1	4	0	0	4	4	5
Ga01g00032	10	18	24	27	46	22	34	26
Ga01g00033	3322	3324	3726	3831	4120	4161	5116	5198
Ga01g00034	376	317	400	355	398	303	251	245
Ga01g00035	349	396	229	270	447	444	475	438
Ga01g00036	2641	2624	3545	3819	4550	4261	5095	4912
Ga01g00037	0	0	0	1	2	0	4	2
Ga01g00038	3150	3185	3240	3371	3170	3064	3281	3188
lnc-Ga01g0006	638	738	710	792	763	694	600	682
Ga01g00039	89	68	36	30	22	18	24	23
Ga01g00040	477	463	497	579	482	472	633	680
Ga01g00041	1604	1563	1380	1300	1135	1048	1207	1202
Ga01g00042	651	648	516	568	611	605	545	513
Ga01g00043	0	3	0	0	0	2	0	0
Ga01g00044	3282	3344	3831	3881	2967	2868	3010	2843
Ga01g00045	2140	2079	1974	1970	2197	1866	2298	2112
Ga01g00046	1490	1671	1672	1535	1625	1350	1408	1494
Ga01g00047	43	39	333	300	1074	1053	3870	3940
Ga01g00048	4	13	0	0	0	0	0	0
Ga01g00049	221	213	18	14	18	21	11	25
Ga01g00050	644	652	398	415	1082	1035	42	38
Ga01g00051	526	505	569	548	838	898	532	603
Ga01g00052	2219	2271	1823	1734	2246	2052	2354	2119
Ga01g00053	109	118	67	77	42	37	44	36
Ga01g00054	7005	6734	5598	5532	5553	5058	6481	6536
Ga01g00055	0	0	1	0	0	0	0	0
Ga01g00056	7420	6874	6224	6274	8464	8030	8003	7637
Ga01g00057	0	0	0	0	0	0	0	0
Ga01g00058	28	32	31	18	30	35	121	130
Ga01g00059	486	434	667	673	828	682	1317	1208
Ga01g00060	3062	2938	2293	2438	2433	2378	2272	2231
Ga01g00061	1809	1854	1182	1276	1976	1980	2214	2121
Ga01g00062	4509	4239	3761	3807	4527	4488	5163	5258
Ga01g00063	1284	1203	1027	1073	1349	1341	1278	1368
lnc-Ga01g0009	295	291	317	358	339	276	454	451
Ga01g00064	364	359	374	423	402	330	557	554
Ga01g00065	12	22	32	36	56	42	84	76
Ga01g00066	223	189	247	265	203	158	110	116
Ga01g00067	1097	1121	888	850	1518	1522	1601	1725
Ga01g00068	1261	1219	875	827	885	834	993	1079
Ga01g00069	596	565	555	527	413	409	529	481
lnc-Ga01g0010	160	155	151	162	123	105	140	115
Ga01g00070	11	7	2	7	9	8	548	542
Ga01g00071	2	1	2	0	3	2	2	2
Ga01g00072	0	0	2	0	2	1	0	0
Ga01g00073	2	0	0	0	0	0	0	0
Ga01g00074	2509	2333	2509	2460	2921	2801	2988	3027
Ga01g00075	29196	28612	34143	34422	13594	13222	9503	9063
Ga01g00076	511	517	477	463	552	521	689	662
Ga01g00077	647	561	1095	1076	350	381	279	407
Ga01g00078	1345	1402	1250	1204	1155	1209	1978	2009
Ga01g00079	278	267	387	373	603	561	708	863
Ga01g00080	2942	3053	3136	3155	3386	3370	3873	3954
Ga01g00081	3966	3876	4193	4198	3672	3235	3372	3361
Ga01g00082	1750	1713	1836	1724	1704	1525	2636	2514
Ga01g00083	112	106	112	105	130	136	93	159
lnc-Ga01g0011	236	288	323	283	468	450	658	682
Ga01g00084	244	300	334	291	480	468	668	694
lnc-Ga01g0012	0	14	2	10	19	14	13	5
Ga01g00085	0	15	2	10	20	14	13	5
Ga01g00086	1637	1576	2004	1994	2577	2329	2565	2426
Ga01g00087	210	206	162	160	227	248	163	156
Ga01g00088	1244	1310	1118	1177	1451	1264	1284	1165
Ga01g00089	4	1	0	2	0	0	1	0
Ga01g00090	177	209	201	207	166	113	90	75
Ga01g00091	2980	2926	2447	2720	2631	2380	2391	2620
Ga01g00092	1208	1266	1087	1096	911	768	827	764
Ga01g00093	1266	1261	1013	1038	1292	1264	1078	958
Ga01g00094	4569	4634	5148	5075	5602	4846	5609	4981
Ga01g00095	2572	2717	2348	2436	2391	2324	2470	2522
Ga01g00096	5333	5572	5139	5326	5307	5219	6157	6266
lnc-Ga01g0013	1898	1910	1828	1889	1830	1866	2081	2238
Ga01g00097	483	503	499	526	501	511	649	706
Ga01g00098	1178	1168	688	614	631	595	581	557
Ga01g00099	0	0	0	2	1	1	0	2
Ga01g00100	0	0	0	2	2	1	0	0
Ga01g00101	0	0	2	2	1	1	0	0
Ga01g00102	6	0	3	9	8	6	0	4
Ga01g00103	2	0	4	3	4	12	0	0
lnc-Ga01g0014	0	0	0	0	0	0	0	0
Ga01g00104	2	0	15	3	12	20	10	3
Ga01g00105	0	0	19	9	18	30	14	3
Ga01g00106	0	0	0	0	0	0	0	0
Ga01g00107	5083	5077	4890	5036	5924	5702	6743	6711
Ga01g00108	39	35	46	73	65	68	70	68
Ga01g00109	0	3	3	10	2	7	4	3
Ga01g00110	5811	5853	6007	6113	6757	6664	7433	6900
Ga01g00111	905	824	874	870	968	941	1044	908
lnc-Ga01g0015	905	824	874	870	968	941	1044	908
Ga01g00112	465	448	448	491	554	549	573	524
lnc-Ga01g0016	465	448	448	491	554	549	573	524
Ga01g00113	33	37	12	14	26	19	9	20
Ga01g00114	133	115	64	83	91	77	148	152
Ga01g00115	26	14	2	5	10	6	27	35
Ga01g00116	66	51	30	34	71	69	163	169
Ga01g00117	3	2	5	4	8	6	38	24
Ga01g00118	13932	13946	11178	11680	13691	13111	12837	12823
Ga01g00119	1687	1680	1606	1708	1767	1711	2117	2038
Ga01g00120	5069	5152	4206	4404	5948	5704	5857	5675
Ga01g00121	2313	2289	2036	1791	2618	2473	2286	2279
Ga01g00122	1820	1859	1487	1292	2119	2062	2294	2200
Ga01g00123	4552	4230	3153	2968	4541	4025	3864	3479
Ga01g00124	9090	9457	8675	8593	8131	7929	9374	9603
