PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"32138770","Decontamination of ambient RNA in single-cell RNA-seq with DecontX","Yang S, Corbett SE, Koga Y, Wang Z, Johnson WE, Yajima M, Campbell JD.","Genome Biol. 2020 Mar 5;21(1):57. doi: 10.1186/s13059-020-1950-6.","Yang S","Genome Biol","2020","2020/03/07","PMC7059395","","10.1186/s13059-020-1950-6"
"38030970","FastCAR: fast correction for ambient RNA to facilitate differential gene expression analysis in single-cell RNA-sequencing datasets","Berg M, Petoukhov I, van den Ende I, Meyer KB, Guryev V, Vonk JM, Carpaij O, Banchero M, Hendriks RW, van den Berge M, Nawijn MC.","BMC Genomics. 2023 Nov 29;24(1):722. doi: 10.1186/s12864-023-09822-3.","Berg M","BMC Genomics","2023","2023/11/29","PMC10687889","","10.1186/s12864-023-09822-3"
"40185305","Mitigating ambient RNA and doublets effects on single cell transcriptomics analysis in cancer research","Saddala MS, Chittineni MS, Hariharan N, Rias AL, Nagaraju GP.","Cancer Lett. 2025 Jun 28;620:217693. doi: 10.1016/j.canlet.2025.217693. Epub 2025 Apr 3.","Saddala MS","Cancer Lett","2025","2025/04/04","","","10.1016/j.canlet.2025.217693"
"33835439","Using RNentropy to Detect Significant Variation in Gene Expression Across Multiple RNA-Seq or Single-Cell RNA-Seq Samples","Zambelli F, Pavesi G.","Methods Mol Biol. 2021;2284:77-96. doi: 10.1007/978-1-0716-1307-8_6.","Zambelli F","Methods Mol Biol","2021","2021/04/09","","","10.1007/978-1-0716-1307-8_6"
"38783325","scCDC: a computational method for gene-specific contamination detection and correction in single-cell and single-nucleus RNA-seq data","Wang W, Cen Y, Lu Z, Xu Y, Sun T, Xiao Y, Liu W, Li JJ, Wang C.","Genome Biol. 2024 May 23;25(1):136. doi: 10.1186/s13059-024-03284-w.","Wang W","Genome Biol","2024","2024/05/23","PMC11112958","","10.1186/s13059-024-03284-w"
"37337297","The effect of background noise and its removal on the analysis of single-cell expression data","Janssen P, Kliesmete Z, Vieth B, Adiconis X, Simmons S, Marshall J, McCabe C, Heyn H, Levin JZ, Enard W, Hellmann I.","Genome Biol. 2023 Jun 19;24(1):140. doi: 10.1186/s13059-023-02978-x.","Janssen P","Genome Biol","2023","2023/06/19","PMC10278251","","10.1186/s13059-023-02978-x"
"33835449","Computational Analysis of Single-Cell RNA-Seq Data","Alessandrì L, Cordero F, Beccuti M, Arigoni M, Calogero RA.","Methods Mol Biol. 2021;2284:289-301. doi: 10.1007/978-1-0716-1307-8_16.","Alessandrì L","Methods Mol Biol","2021","2021/04/09","","","10.1007/978-1-0716-1307-8_16"
"39390263","kallisto, bustools and kb-python for quantifying bulk, single-cell and single-nucleus RNA-seq","Sullivan DK, Min KHJ, Hjörleifsson KE, Luebbert L, Holley G, Moses L, Gustafsson J, Bray NL, Pimentel H, Booeshaghi AS, Melsted P, Pachter L.","Nat Protoc. 2025 Mar;20(3):587-607. doi: 10.1038/s41596-024-01057-0. Epub 2024 Oct 10.","Sullivan DK","Nat Protoc","2025","2024/10/10","","","10.1038/s41596-024-01057-0"
"33367645","SoupX removes ambient RNA contamination from droplet-based single-cell RNA sequencing data","Young MD, Behjati S.","Gigascience. 2020 Dec 26;9(12):giaa151. doi: 10.1093/gigascience/giaa151.","Young MD","Gigascience","2020","2020/12/28","PMC7763177","","10.1093/gigascience/giaa151"
"38935069","scPLAN: a hierarchical computational framework for single transcriptomics data annotation, integration and cell-type label refinement","Guo Q, Yuan M, Zhang L, Deng M.","Brief Bioinform. 2024 May 23;25(4):bbae305. doi: 10.1093/bib/bbae305.","Guo Q","Brief Bioinform","2024","2024/06/27","PMC11209730","","10.1093/bib/bbae305"
"37550580","Unsupervised removal of systematic background noise from droplet-based single-cell experiments using CellBender","Fleming SJ, Chaffin MD, Arduini A, Akkad AD, Banks E, Marioni JC, Philippakis AA, Ellinor PT, Babadi M.","Nat Methods. 2023 Sep;20(9):1323-1335. doi: 10.1038/s41592-023-01943-7. Epub 2023 Aug 7.","Fleming SJ","Nat Methods","2023","2023/08/07","","","10.1038/s41592-023-01943-7"
"34103073","BUTTERFLY: addressing the pooled amplification paradox with unique molecular identifiers in single-cell RNA-seq","Gustafsson J, Robinson J, Nielsen J, Pachter L.","Genome Biol. 2021 Jun 8;22(1):174. doi: 10.1186/s13059-021-02386-z.","Gustafsson J","Genome Biol","2021","2021/06/09","PMC8188791","","10.1186/s13059-021-02386-z"
"33618746","scSorter: assigning cells to known cell types according to marker genes","Guo H, Li J.","Genome Biol. 2021 Feb 22;22(1):69. doi: 10.1186/s13059-021-02281-7.","Guo H","Genome Biol","2021","2021/02/23","PMC7898451","","10.1186/s13059-021-02281-7"
"39116191","scRNMF: An imputation method for single-cell RNA-seq data by robust and non-negative matrix factorization","Qian Y, Zou Q, Zhao M, Liu Y, Guo F, Ding Y.","PLoS Comput Biol. 2024 Aug 8;20(8):e1012339. doi: 10.1371/journal.pcbi.1012339. eCollection 2024 Aug.","Qian Y","PLoS Comput Biol","2024","2024/08/08","PMC11338450","","10.1371/journal.pcbi.1012339"
"39708840","scRGCL: a cell type annotation method for single-cell RNA-seq data using residual graph convolutional neural network with contrastive learning","Yuan L, Sun S, Jiang Y, Zhang Q, Ye L, Zheng CH, Huang DS.","Brief Bioinform. 2024 Nov 22;26(1):bbae662. doi: 10.1093/bib/bbae662.","Yuan L","Brief Bioinform","2024","2024/12/21","PMC11663015","","10.1093/bib/bbae662"
"34382023","Protocol for executing and benchmarking eight computational doublet-detection methods in single-cell RNA sequencing data analysis","Xi NM, Li JJ.","STAR Protoc. 2021 Jul 28;2(3):100699. doi: 10.1016/j.xpro.2021.100699. eCollection 2021 Sep 17.","Xi NM","STAR Protoc","2021","2021/08/12","PMC8339294","","10.1016/j.xpro.2021.100699"
"38242863","Improving cell type identification with Gaussian noise-augmented single-cell RNA-seq contrastive learning","Alsaggaf I, Buchan D, Wan C.","Brief Funct Genomics. 2024 Jul 19;23(4):441-451. doi: 10.1093/bfgp/elad059.","Alsaggaf I","Brief Funct Genomics","2024","2024/01/19","","","10.1093/bfgp/elad059"
"39466833","Mcadet: A feature selection method for fine-resolution single-cell RNA-seq data based on multiple correspondence analysis and community detection","Cui S, Nassiri S, Zakeri I.","PLoS Comput Biol. 2024 Oct 28;20(10):e1012560. doi: 10.1371/journal.pcbi.1012560. eCollection 2024 Oct.","Cui S","PLoS Comput Biol","2024","2024/10/28","PMC11542852","","10.1371/journal.pcbi.1012560"
"34946896","A Comprehensive Survey of Statistical Approaches for Differential Expression Analysis in Single-Cell RNA Sequencing Studies","Das S, Rai A, Merchant ML, Cave MC, Rai SN.","Genes (Basel). 2021 Dec 2;12(12):1947. doi: 10.3390/genes12121947.","Das S","Genes (Basel)","2021","2021/12/24","PMC8701051","","10.3390/genes12121947"
"32001747","Systematic Comparison of High-throughput Single-Cell and Single-Nucleus Transcriptomes during Cardiomyocyte Differentiation","Selewa A, Dohn R, Eckart H, Lozano S, Xie B, Gauchat E, Elorbany R, Rhodes K, Burnett J, Gilad Y, Pott S, Basu A.","Sci Rep. 2020 Jan 30;10(1):1535. doi: 10.1038/s41598-020-58327-6.","Selewa A","Sci Rep","2020","2020/02/01","PMC6992778","","10.1038/s41598-020-58327-6"
"38355308","Differences in molecular sampling and data processing explain variation among single-cell and single-nucleus RNA-seq experiments","Chamberlin JT, Lee Y, Marth GT, Quinlan AR.","Genome Res. 2024 Mar 20;34(2):179-188. doi: 10.1101/gr.278253.123.","Chamberlin JT","Genome Res","2024","2024/02/14","PMC10984380","","10.1101/gr.278253.123"
"39508444","SpaDiT: diffusion transformer for spatial gene expression prediction using scRNA-seq","Li X, Zhu F, Min W.","Brief Bioinform. 2024 Sep 23;25(6):bbae571. doi: 10.1093/bib/bbae571.","Li X","Brief Bioinform","2024","2024/11/07","PMC11541600","","10.1093/bib/bbae571"
"34857027","DropletQC: improved identification of empty droplets and damaged cells in single-cell RNA-seq data","Muskovic W, Powell JE.","Genome Biol. 2021 Dec 2;22(1):329. doi: 10.1186/s13059-021-02547-0.","Muskovic W","Genome Biol","2021","2021/12/03","PMC8641258","","10.1186/s13059-021-02547-0"
"39402623","scCTS: identifying the cell type-specific marker genes from population-level single-cell RNA-seq","Chen L, Guo Z, Deng T, Wu H.","Genome Biol. 2024 Oct 14;25(1):269. doi: 10.1186/s13059-024-03410-8.","Chen L","Genome Biol","2024","2024/10/14","PMC11472465","","10.1186/s13059-024-03410-8"
"39237193","scRNA-Explorer: An End-user Online Tool for Single Cell RNA-seq Data Analysis Featuring Gene Correlation and Data Filtering","Baltsavia I, Oulas A, Theodosiou T, Lavigne MD, Andreakos E, Mavrothalassitis G, Iliopoulos I.","J Mol Biol. 2024 Sep 1;436(17):168654. doi: 10.1016/j.jmb.2024.168654. Epub 2024 Jun 12.","Baltsavia I","J Mol Biol","2024","2024/09/05","","","10.1016/j.jmb.2024.168654"
"32366989","Souporcell: robust clustering of single-cell RNA-seq data by genotype without reference genotypes","Heaton H, Talman AM, Knights A, Imaz M, Gaffney DJ, Durbin R, Hemberg M, Lawniczak MKN.","Nat Methods. 2020 Jun;17(6):615-620. doi: 10.1038/s41592-020-0820-1. Epub 2020 May 4.","Heaton H","Nat Methods","2020","2020/05/06","PMC7617080","EMS118462","10.1038/s41592-020-0820-1"
"34251624","Identification of Gene Regulatory Networks from Single-Cell Expression Data","Li S, Yan H, Lee J.","Methods Mol Biol. 2021;2328:153-170. doi: 10.1007/978-1-0716-1534-8_9.","Li S","Methods Mol Biol","2021","2021/07/12","","","10.1007/978-1-0716-1534-8_9"
"39997221","Shiba: a versatile computational method for systematic identification of differential RNA splicing across platforms","Kubota N, Chen L, Zheng S.","Nucleic Acids Res. 2025 Feb 8;53(4):gkaf098. doi: 10.1093/nar/gkaf098.","Kubota N","Nucleic Acids Res","2025","2025/02/25","PMC11851117","","10.1093/nar/gkaf098"
"39271980","scBubbletree: computational approach for visualization of single cell RNA-seq data","Kitanovski S, Cao Y, Ttoouli D, Farahpour F, Wang J, Hoffmann D.","BMC Bioinformatics. 2024 Sep 13;25(1):302. doi: 10.1186/s12859-024-05927-y.","Kitanovski S","BMC Bioinformatics","2024","2024/09/13","PMC11401305","","10.1186/s12859-024-05927-y"
"39446194","Structure-preserved integration of scRNA-seq data using heterogeneous graph neural network","Zhang X, Qian K, Li H.","Brief Bioinform. 2024 Sep 23;25(6):bbae538. doi: 10.1093/bib/bbae538.","Zhang X","Brief Bioinform","2024","2024/10/24","PMC11500609","","10.1093/bib/bbae538"
"38995959","Identifying cell states in single-cell RNA-seq data at statistically maximal resolution","Grobecker P, Sakoparnig T, van Nimwegen E.","PLoS Comput Biol. 2024 Jul 12;20(7):e1012224. doi: 10.1371/journal.pcbi.1012224. eCollection 2024 Jul.","Grobecker P","PLoS Comput Biol","2024","2024/07/12","PMC11364423","","10.1371/journal.pcbi.1012224"
"39294558","Deconvolution from bulk gene expression by leveraging sample-wise and gene-wise similarities and single-cell RNA-Seq data","Wang C, Lin Y, Li S, Guan J.","BMC Genomics. 2024 Sep 18;25(1):875. doi: 10.1186/s12864-024-10728-x.","Wang C","BMC Genomics","2024","2024/09/18","PMC11409548","","10.1186/s12864-024-10728-x"
"40188497","scMUG: deep clustering analysis of single-cell RNA-seq data on multiple gene functional modules","Liang DM, Du PF.","Brief Bioinform. 2025 Mar 4;26(2):bbaf138. doi: 10.1093/bib/bbaf138.","Liang DM","Brief Bioinform","2025","2025/04/06","PMC11972635","","10.1093/bib/bbaf138"
"39226185","SCIntRuler: guiding the integration of multiple single-cell RNA-seq datasets with a novel statistical metric","Lyu Y, Lin SH, Wu H, Li Z.","Bioinformatics. 2024 Sep 2;40(9):btae537. doi: 10.1093/bioinformatics/btae537.","Lyu Y","Bioinformatics","2024","2024/09/03","PMC11415828","","10.1093/bioinformatics/btae537"
"40184563","scTrans: Sparse attention powers fast and accurate cell type annotation in single-cell RNA-seq data","Zou Z, Liu Y, Bai Y, Luo J, Zhang Z.","PLoS Comput Biol. 2025 Apr 4;21(4):e1012904. doi: 10.1371/journal.pcbi.1012904. eCollection 2025 Apr.","Zou Z","PLoS Comput Biol","2025","2025/04/04","PMC11970913","","10.1371/journal.pcbi.1012904"
"39504481","scDTL: enhancing single-cell RNA-seq imputation through deep transfer learning with bulk cell information","Zhao L, Jiang L, Xie Y, Huang J, Xie H, Tian J, Zhang D.","Brief Bioinform. 2024 Sep 23;25(6):bbae555. doi: 10.1093/bib/bbae555.","Zhao L","Brief Bioinform","2024","2024/11/06","PMC11540133","","10.1093/bib/bbae555"
"33839756","iSMNN: batch effect correction for single-cell RNA-seq data via iterative supervised mutual nearest neighbor refinement","Yang Y, Li G, Xie Y, Wang L, Lagler TM, Yang Y, Liu J, Qian L, Li Y.","Brief Bioinform. 2021 Sep 2;22(5):bbab122. doi: 10.1093/bib/bbab122.","Yang Y","Brief Bioinform","2021","2021/04/11","PMC8579191","","10.1093/bib/bbab122"
"39521797","Uncovering functional lncRNAs by scRNA-seq with ELATUS","Goñi E, Mas AM, Gonzalez J, Abad A, Santisteban M, Fortes P, Huarte M, Hernaez M.","Nat Commun. 2024 Nov 9;15(1):9709. doi: 10.1038/s41467-024-54005-7.","Goñi E","Nat Commun","2024","2024/11/09","PMC11550465","","10.1038/s41467-024-54005-7"
"39656909","QClus: a droplet filtering algorithm for enhanced snRNA-seq data quality in challenging samples","Schmauch E, Ojanen J, Galani K, Jalkanen J, Harju K, Hollmén M, Kokki H, Gunn J, Halonen J, Hartikainen J, Kiviniemi T, Tavi P, Kaikkonen MU, Kellis M, Linna-Kuosmanen S.","Nucleic Acids Res. 2025 Jan 7;53(1):gkae1145. doi: 10.1093/nar/gkae1145.","Schmauch E","Nucleic Acids Res","2025","2024/12/10","PMC11724311","","10.1093/nar/gkae1145"
"31377170","SingleCellNet: A Computational Tool to Classify Single Cell RNA-Seq Data Across Platforms and Across Species","Tan Y, Cahan P.","Cell Syst. 2019 Aug 28;9(2):207-213.e2. doi: 10.1016/j.cels.2019.06.004. Epub 2019 Jul 31.","Tan Y","Cell Syst","2019","2019/08/05","PMC6715530","NIHMS1532557","10.1016/j.cels.2019.06.004"
"34725480","An analytical framework for interpretable and generalizable single-cell data analysis","Zhou J, Troyanskaya OG.","Nat Methods. 2021 Nov;18(11):1317-1321. doi: 10.1038/s41592-021-01286-1. Epub 2021 Nov 1.","Zhou J","Nat Methods","2021","2021/11/02","PMC8959118","NIHMS1737105","10.1038/s41592-021-01286-1"
"31569701","An Efficient and Flexible Method for Deconvoluting Bulk RNA-Seq Data with Single-Cell RNA-Seq Data","Sun X, Sun S, Yang S.","Cells. 2019 Sep 27;8(10):1161. doi: 10.3390/cells8101161.","Sun X","Cells","2019","2019/10/02","PMC6830085","","10.3390/cells8101161"
"33338399","Benchmarking Computational Doublet-Detection Methods for Single-Cell RNA Sequencing Data","Xi NM, Li JJ.","Cell Syst. 2021 Feb 17;12(2):176-194.e6. doi: 10.1016/j.cels.2020.11.008. Epub 2020 Dec 17.","Xi NM","Cell Syst","2021","2020/12/18","PMC7897250","NIHMS1656187","10.1016/j.cels.2020.11.008"
