tissueType,cellName,geneSymbolmore1,geneSymbolmore2,shortName
leaf,dividing cells,"LOC-Os04g40940,LOC-Os01g16650,LOC-Os04g47580,LOC-Os08g40170",,dividing cells
leaf,Meristem,"LOC-Os07g03770,LOC-Os03g51690,LOC-Os01g19694,LOC-Os10g26340,LOC-Os01g67410,LOC-Os05g45460",,Meristem
leaf,procambium,"LOC-Os06g44750,LOC-Os04g04330,LOC-Os11g25920,LOC-Os06g12610,LOC-Os03g14080,LOC-Os10g05690,LOC-Os04g56850,LOC-Os08g44750,LOC-Os03g43930",,procambium
leaf,Phloem,"LOC-Os01g06500,LOC-Os04g52920,LOC-Os03g07480,LOC-Os04g51820,LOC-Os08g07010,LOC-Os06g41090,LOC-Os02g07770,LOC-Os07g07950,LOC-Os04g33980,LOC-Os02g33460,LOC-Os03g02800,LOC-Os10g26730",,Phloem
leaf,Xylem,"LOC-Os05g01810,LOC-Os01g73980,LOC-Os03g13210,LOC-Os01g20160",,Xylem
leaf,Xylem parenchyma,"LOC-Os07g04180,LOC-Os04g51830,LOC-Os03g48180,LOC-Os05g34980",,Xylem parenchyma
leaf,Sclerenchyma,"LOC-Os08g06100,LOC-Os10g06000,LOC-Os06g04090,LOC-Os02g08100,LOC-Os03g30250,LOC-Os02g41630,LOC-Os05g48850",,Sclerenchyma
leaf,Epidermis,"LOC-Os03g52320,LOC-Os01g60740,LOC-Os10g42490,LOC-Os08g08820,LOC-Os09g19930,LOC-Os11g32100,LOC-Os03g08360,LOC-Os02g56920,LOC-Os06g35970,LOC-Os11g02400,LOC-Os06g05550,LOC-Os10g33370",,Epidermis
leaf,Large parenchyma,"LOC-Os08g33820,LOC-Os04g33830,LOC-Os01g31690,LOC-Os07g37030,LOC-Os11g13890,LOC-Os07g37240,LOC-Os01g45274,LOC-Os01g55350,LOC-Os08g44810,LOC-Os05g33570,LOC-Os07g34640,LOC-Os12g19381,LOC-Os04g16680,LOC-Os03g16050,LOC-Os02g47020,LOC-Os08g35760,LOC-Os02g05830,LOC-Os12g17600,LOC-Os12g19470,LOC-Os09g17740,LOC-Os01g41710,LOC-Os11g26160,LOC-Os08g06630,LOC-Os04g48390,LOC-Os03g48000,LOC-Os02g45520,LOC-Os01g69030",,Large parenchyma
leaf,Bundle sheath,"LOC-Os03g43290,LOC-Os05g42350,LOC-Os03g06520,LOC-Os03g09940",,Bundle sheath
