Gene_id	Family	Matrix_id	Species	Method	Datasource	Datasource_ID
Cotton_A_00051	Trihelix	MP00288	Gossypium arboreum	DAP	PlantTFDB	transfer from AT2G33550(Arabidopsis thaliana)
Cotton_A_00062	G2-like	MP00022	Gossypium arboreum	PBM	PlantTFDB	transfer from AT2G20570(Arabidopsis thaliana)
Cotton_A_00064	G2-like	MP00022	Gossypium arboreum	PBM	PlantTFDB	transfer from AT2G20570(Arabidopsis thaliana)
Cotton_A_00334	MYB	MP00296	Gossypium arboreum	DAP	PlantTFDB	transfer from AT2G38090(Arabidopsis thaliana)
Cotton_A_00505	HD-ZIP	MP00486	Gossypium arboreum	DAP	PlantTFDB	transfer from AT5G03790(Arabidopsis thaliana)
Cotton_A_00802	CAMTA	MP00043	Gossypium arboreum	PBM	PlantTFDB	transfer from AT5G64220(Arabidopsis thaliana)
Cotton_A_01078	bHLH	MP00195	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G51140(Arabidopsis thaliana)
Cotton_A_01249	bHLH	MP00659	Gossypium arboreum	PBM	PlantTFDB	transfer from Pp3c14_15890(Physcomitrella patens)
Cotton_A_01283	MYB_related	MP00560	Gossypium arboreum	DAP	PlantTFDB	transfer from AT5G52660(Arabidopsis thaliana)
Cotton_A_01469	HD-ZIP	MP00232	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G73360(Arabidopsis thaliana)
Cotton_A_01472	MYB_related	MP00146	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G18330(Arabidopsis thaliana)
Cotton_A_01493	MYB	MP00442	Gossypium arboreum	DAP	PlantTFDB	transfer from AT4G18770(Arabidopsis thaliana)
Cotton_A_01628	C2H2	MP00592	Gossypium arboreum	DAP	PlantTFDB	transfer from AT5G66730(Arabidopsis thaliana)
Cotton_A_01632	HD-ZIP	MP00473	Gossypium arboreum	DAP	PlantTFDB	transfer from AT4G36740(Arabidopsis thaliana)
Cotton_A_01907	bHLH	MP00498	Gossypium arboreum	DAP	PlantTFDB	transfer from AT5G08130(Arabidopsis thaliana)
Cotton_A_01939	SBP	MP00555	Gossypium arboreum	DAP	PlantTFDB	transfer from AT5G50570(Arabidopsis thaliana)
Cotton_A_02042	G2-like	MP00475	Gossypium arboreum	DAP	PlantTFDB	transfer from AT4G37180(Arabidopsis thaliana)
Cotton_A_02191	NAC	MP00205	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G54330(Arabidopsis thaliana)
Cotton_A_02283	Dof	MP00405	Gossypium arboreum	DAP	PlantTFDB	transfer from AT3G52440(Arabidopsis thaliana)
Cotton_A_02413	MYB_related	MP00625	Gossypium arboreum	PBM	PlantTFDB	transfer from PK02532.1(Cannabis sativa)
Cotton_A_02456	MYB_related	MP00338	Gossypium arboreum	DAP	PlantTFDB	transfer from AT3G09600(Arabidopsis thaliana)
Cotton_A_02473	MYB	MP00337	Gossypium arboreum	DAP	PlantTFDB	transfer from AT3G09230(Arabidopsis thaliana)
Cotton_A_02660	Trihelix	MP00356	Gossypium arboreum	DAP	PlantTFDB	transfer from AT3G14180(Arabidopsis thaliana)
Cotton_A_02679	MYB_related	MP00652	Gossypium arboreum	PBM	PlantTFDB	transfer from LOC_Os01g51154(Oryza sativa subsp. japonica)
Cotton_A_02703	TCP	MP00396	Gossypium arboreum	DAP	PlantTFDB	transfer from AT3G47620(Arabidopsis thaliana)
Cotton_A_02765	Dof	MP00570	Gossypium arboreum	DAP	PlantTFDB	transfer from AT5G60850(Arabidopsis thaliana)
Cotton_A_02851	HSF	MP00514	Gossypium arboreum	DAP	PlantTFDB	transfer from AT5G16820(Arabidopsis thaliana)
Cotton_A_03292	bZIP	MP00389	Gossypium arboreum	DAP	PlantTFDB	transfer from AT3G30530(Arabidopsis thaliana)
Cotton_A_03326	WRKY	MP00506	Gossypium arboreum	DAP	PlantTFDB	transfer from AT5G13080(Arabidopsis thaliana)
Cotton_A_03426	WRKY	MP00299	Gossypium arboreum	DAP	PlantTFDB	transfer from AT2G38470(Arabidopsis thaliana)
Cotton_A_03448	G2-like	MP00297	Gossypium arboreum	DAP	PlantTFDB	transfer from AT2G38300(Arabidopsis thaliana)
Cotton_A_03637	LFY	MP00095	Gossypium arboreum	SELEX	PlantTFDB	transfer from AT5G61850(Arabidopsis thaliana)
Cotton_A_03644	ARF	MP00574	Gossypium arboreum	DAP	PlantTFDB	transfer from AT5G62000(Arabidopsis thaliana)
Cotton_A_03693	WRKY	MP00094	Gossypium arboreum	SELEX	PlantTFDB	transfer from AT2G04880(Arabidopsis thaliana)
Cotton_A_03791	bHLH	MP00660	Gossypium arboreum	PBM	PlantTFDB	transfer from Pp3c6_9520(Physcomitrella patens)
Cotton_A_03919	ERF	MP00645	Gossypium arboreum	PBM	PlantTFDB	transfer from LOC_Os05g41760(Oryza sativa subsp. japonica)
Cotton_A_03998	TCP	MP00614	Gossypium arboreum	PBM	PlantTFDB	transfer from AT1G35560(Arabidopsis thaliana)
Cotton_A_04420	bZIP	MP00126	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G06070(Arabidopsis thaliana)
Cotton_A_04457	ERF	MP00458	Gossypium arboreum	DAP	PlantTFDB	transfer from AT4G28140(Arabidopsis thaliana)
Cotton_A_04481	NAC	MP00459	Gossypium arboreum	DAP	PlantTFDB	transfer from AT4G28500(Arabidopsis thaliana)
Cotton_A_04482	C2H2	MP00125	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G03840(Arabidopsis thaliana)
Cotton_A_04485	ERF	MP00163	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G28160(Arabidopsis thaliana)
Cotton_A_04502	bZIP	MP00586	Gossypium arboreum	DAP	PlantTFDB	transfer from AT5G65210(Arabidopsis thaliana)
Cotton_A_04509	NAC	MP00179	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G34190(Arabidopsis thaliana)
Cotton_A_04612	NAC	MP00241	Gossypium arboreum	DAP	PlantTFDB	transfer from AT1G76420(Arabidopsis thaliana)
Cotton_A_04827	ERF	MP00366	Gossypium arboreum	DAP	PlantTFDB	transfer from AT3G20310(Arabidopsis thaliana)
Cotton_A_04879	ERF	MP00520	Gossypium arboreum	DAP	PlantTFDB	transfer from AT5G18560(Arabidopsis thaliana)
Cotton_A_04900	G2-like	MP00252	Gossypium arboreum	DAP	PlantTFDB	transfer from AT2G01060(Arabidopsis thaliana)
