TF_ID	Gene_ID	Family
Cotton_A_35449_BGI-A2_v1.0	Cotton_A_35449	RAV
Cotton_A_37921_BGI-A2_v1.0	Cotton_A_37921	RAV
Cotton_A_22399_BGI-A2_v1.0	Cotton_A_22399	RAV
Cotton_A_02549_BGI-A2_v1.0	Cotton_A_02549	RAV
Cotton_A_22397_BGI-A2_v1.0	Cotton_A_22397	RAV
Cotton_A_11111_BGI-A2_v1.0	Cotton_A_11111	RAV
Cotton_A_11112_BGI-A2_v1.0	Cotton_A_11112	RAV
Cotton_A_07162_BGI-A2_v1.0	Cotton_A_07162	RAV
Cotton_A_12005_BGI-A2_v1.0	Cotton_A_12005	RAV
Cotton_A_00051_BGI-A2_v1.0	Cotton_A_00051	Trihelix
Cotton_A_00097_BGI-A2_v1.0	Cotton_A_00097	bHLH
Cotton_A_00183_BGI-A2_v1.0	Cotton_A_00183	NAC
Cotton_A_00245_BGI-A2_v1.0	Cotton_A_00245	bZIP
Cotton_A_00256_BGI-A2_v1.0	Cotton_A_00256	NAC
Cotton_A_00304_BGI-A2_v1.0	Cotton_A_00304	bZIP
Cotton_A_00322_BGI-A2_v1.0	Cotton_A_00322	Trihelix
Cotton_A_00435_BGI-A2_v1.0	Cotton_A_00435	NF-YB
Cotton_A_00448_BGI-A2_v1.0	Cotton_A_00448	S1Fa-like
Cotton_A_00474_BGI-A2_v1.0	Cotton_A_00474	E2F/DP
Cotton_A_00508_BGI-A2_v1.0	Cotton_A_00508	Trihelix
Cotton_A_00524_BGI-A2_v1.0	Cotton_A_00524	Trihelix
Cotton_A_00580_BGI-A2_v1.0	Cotton_A_00580	bZIP
Cotton_A_00586_BGI-A2_v1.0	Cotton_A_00586	Nin-like
Cotton_A_00602_BGI-A2_v1.0	Cotton_A_00602	NAC
Cotton_A_00640_BGI-A2_v1.0	Cotton_A_00640	bZIP
Cotton_A_00658_BGI-A2_v1.0	Cotton_A_00658	bHLH
Cotton_A_00688_BGI-A2_v1.0	Cotton_A_00688	bZIP
Cotton_A_00698_BGI-A2_v1.0	Cotton_A_00698	GATA
Cotton_A_00707_BGI-A2_v1.0	Cotton_A_00707	SRS
Cotton_A_00722_BGI-A2_v1.0	Cotton_A_00722	bZIP
Cotton_A_00736_BGI-A2_v1.0	Cotton_A_00736	bHLH
Cotton_A_00792_BGI-A2_v1.0	Cotton_A_00792	bZIP
Cotton_A_00802_BGI-A2_v1.0	Cotton_A_00802	CAMTA
Cotton_A_00831_BGI-A2_v1.0	Cotton_A_00831	NAC
Cotton_A_00841_BGI-A2_v1.0	Cotton_A_00841	NAC
Cotton_A_00864_BGI-A2_v1.0	Cotton_A_00864	HSF
Cotton_A_00932_BGI-A2_v1.0	Cotton_A_00932	bHLH
Cotton_A_00936_BGI-A2_v1.0	Cotton_A_00936	Dof
Cotton_A_00950_BGI-A2_v1.0	Cotton_A_00950	GeBP
Cotton_A_00996_BGI-A2_v1.0	Cotton_A_00996	LBD
Cotton_A_01014_BGI-A2_v1.0	Cotton_A_01014	GRAS
Cotton_A_01032_BGI-A2_v1.0	Cotton_A_01032	Trihelix
Cotton_A_01066_BGI-A2_v1.0	Cotton_A_01066	bHLH
Cotton_A_01077_BGI-A2_v1.0	Cotton_A_01077	FAR1
Cotton_A_01078_BGI-A2_v1.0	Cotton_A_01078	bHLH
Cotton_A_01099_BGI-A2_v1.0	Cotton_A_01099	GATA
Cotton_A_01130_BGI-A2_v1.0	Cotton_A_01130	WRKY
Cotton_A_01173_BGI-A2_v1.0	Cotton_A_01173	WRKY
Cotton_A_01174_BGI-A2_v1.0	Cotton_A_01174	WRKY
Cotton_A_01249_BGI-A2_v1.0	Cotton_A_01249	bHLH
Cotton_A_01340_BGI-A2_v1.0	Cotton_A_01340	LBD
Cotton_A_01361_BGI-A2_v1.0	Cotton_A_01361	Trihelix
Cotton_A_01362_BGI-A2_v1.0	Cotton_A_01362	bHLH
Cotton_A_01363_BGI-A2_v1.0	Cotton_A_01363	bHLH
Cotton_A_01394_BGI-A2_v1.0	Cotton_A_01394	TCP
Cotton_A_01491_BGI-A2_v1.0	Cotton_A_01491	Dof
Cotton_A_01498_BGI-A2_v1.0	Cotton_A_01498	SBP
Cotton_A_01505_BGI-A2_v1.0	Cotton_A_01505	NAC
Cotton_A_01537_BGI-A2_v1.0	Cotton_A_01537	bZIP
Cotton_A_01558_BGI-A2_v1.0	Cotton_A_01558	bHLH
Cotton_A_01569_BGI-A2_v1.0	Cotton_A_01569	NAC
Cotton_A_01582_BGI-A2_v1.0	Cotton_A_01582	SRS
Cotton_A_01606_BGI-A2_v1.0	Cotton_A_01606	ZF-HD
Cotton_A_01620_BGI-A2_v1.0	Cotton_A_01620	GRAS
Cotton_A_01631_BGI-A2_v1.0	Cotton_A_01631	GRAS
Cotton_A_01675_BGI-A2_v1.0	Cotton_A_01675	Dof
Cotton_A_01709_BGI-A2_v1.0	Cotton_A_01709	YABBY
Cotton_A_01720_BGI-A2_v1.0	Cotton_A_01720	FAR1
Cotton_A_01732_BGI-A2_v1.0	Cotton_A_01732	LBD
Cotton_A_01739_BGI-A2_v1.0	Cotton_A_01739	bHLH
Cotton_A_01774_BGI-A2_v1.0	Cotton_A_01774	SRS
Cotton_A_01784_BGI-A2_v1.0	Cotton_A_01784	HSF
Cotton_A_01790_BGI-A2_v1.0	Cotton_A_01790	GRAS
Cotton_A_01813_BGI-A2_v1.0	Cotton_A_01813	NAC
Cotton_A_01907_BGI-A2_v1.0	Cotton_A_01907	bHLH
Cotton_A_01939_BGI-A2_v1.0	Cotton_A_01939	SBP
Cotton_A_01943_BGI-A2_v1.0	Cotton_A_01943	NAC
Cotton_A_01949_BGI-A2_v1.0	Cotton_A_01949	bHLH
Cotton_A_01954_BGI-A2_v1.0	Cotton_A_01954	bHLH
Cotton_A_01989_BGI-A2_v1.0	Cotton_A_01989	NAC
Cotton_A_02007_BGI-A2_v1.0	Cotton_A_02007	GATA
Cotton_A_02016_BGI-A2_v1.0	Cotton_A_02016	ZF-HD
Cotton_A_02051_BGI-A2_v1.0	Cotton_A_02051	ZF-HD
Cotton_A_02091_BGI-A2_v1.0	Cotton_A_02091	WRKY
Cotton_A_02095_BGI-A2_v1.0	Cotton_A_02095	Nin-like
Cotton_A_02119_BGI-A2_v1.0	Cotton_A_02119	NF-YB
Cotton_A_02125_BGI-A2_v1.0	Cotton_A_02125	NF-YB
Cotton_A_02191_BGI-A2_v1.0	Cotton_A_02191	NAC
Cotton_A_02199_BGI-A2_v1.0	Cotton_A_02199	FAR1
Cotton_A_02277_BGI-A2_v1.0	Cotton_A_02277	NF-YA
Cotton_A_02283_BGI-A2_v1.0	Cotton_A_02283	Dof
Cotton_A_02365_BGI-A2_v1.0	Cotton_A_02365	NAC
Cotton_A_02366_BGI-A2_v1.0	Cotton_A_02366	NAC
Cotton_A_02399_BGI-A2_v1.0	Cotton_A_02399	WRKY
Cotton_A_02412_BGI-A2_v1.0	Cotton_A_02412	WRKY
Cotton_A_02423_BGI-A2_v1.0	Cotton_A_02423	GRAS
Cotton_A_02559_BGI-A2_v1.0	Cotton_A_02559	EIL
Cotton_A_02567_BGI-A2_v1.0	Cotton_A_02567	NF-YA
Cotton_A_02581_BGI-A2_v1.0	Cotton_A_02581	GRAS
Cotton_A_02626_BGI-A2_v1.0	Cotton_A_02626	E2F/DP
Cotton_A_02627_BGI-A2_v1.0	Cotton_A_02627	E2F/DP
Cotton_A_02633_BGI-A2_v1.0	Cotton_A_02633	bZIP
Cotton_A_02660_BGI-A2_v1.0	Cotton_A_02660	Trihelix
